sample_id,filepath,observed_poisoned_label,clean_label_eval_only,is_adversarially_flipped_eval_only,attack_target_eval_only,attack_score_eval_only,attack_gradient_conflict_eval_only,attack_target_plausibility_eval_only,reliability,loss_clean_signal,consistency_clean_signal,proto_clean_signal,grad_clean_signal,teacher_conf
39,/content/Dataset/LYM/LYM-AHHLEAAY.jpg,4,3,1,4,1.0591615,0.81534314,1.0,0.46917397,0.08558946,0.98707294,0.16721231,1.0,0.28921598
40,/content/Dataset/ADI/ADI-CVMCQRRA.jpg,0,0,0,4,1.0869831,0.82691145,1.0,0.6572976,0.39419392,0.9897196,0.48554996,0.9999914,0.29803064
41,/content/Dataset/BACK/BACK-IYHWRVCC.jpg,1,1,0,3,1.0654359,0.80913794,1.0,0.7247435,0.57400876,0.9861355,0.50645334,1.0,0.29291347
42,/content/Dataset/STR/STR-QTFIEGFI.jpg,5,7,1,5,0.9314663,0.80514586,1.0,0.5493818,0.23158282,0.9850667,0.2852655,0.9999904,0.26721323
43,/content/Dataset/TUM/TUM-RRGKKWLF.jpg,6,8,1,6,0.9877421,0.79225063,1.0,0.48484987,0.13544162,0.9864587,0.16061434,1.0,0.2654563
44,/content/Dataset/ADI/ADI-EAKECWPG.jpg,0,0,0,5,1.0959082,0.83067465,0.98859096,0.7614272,0.6049716,0.98609877,0.6098699,1.0,0.31346917
45,/content/Dataset/MUS/MUS-VIGVQLGA.jpg,5,5,0,7,0.9574868,0.77983177,1.0,0.7567454,0.6161354,0.98406434,0.5771406,1.0,0.28760317
46,/content/Dataset/TUM/TUM-WHMLADVQ.jpg,8,8,0,6,0.9858402,0.8373067,1.0,0.48417032,0.26943177,0.986748,0.2631544,0.63365495,0.24365735
47,/content/Dataset/BACK/BACK-LSRIGVHG.jpg,1,1,0,3,1.0655206,0.80899584,1.0,0.8304386,0.6539973,0.98637056,0.8170909,0.9999635,0.29499847
48,/content/Dataset/DEB/DEB-WIDMNDKM.jpg,2,2,0,3,1.0179247,0.79246145,1.0,0.7900264,0.6245014,0.98663354,0.696497,1.0,0.29628843
49,/content/Dataset/STR/STR-VHPKTHEY.jpg,7,7,0,5,0.9209593,0.7664251,1.0,0.7091879,0.55696464,0.9866113,0.46771234,1.0,0.25946778
50,/content/Dataset/TUM/TUM-AANTTRNY.jpg,8,8,0,6,0.8769157,0.86941814,1.0,0.21070772,0.009483867,0.9839034,0.042430747,0.0,0.2829119
51,/content/Dataset/DEB/DEB-TYEKKGMT.jpg,8,2,1,8,1.021489,0.8482809,1.0,0.2193124,0.015426602,0.9627048,0.08548852,0.0,0.19956808
52,/content/Dataset/MUS/MUS-PVQNWMTK.jpg,5,5,0,7,0.95359546,0.774416,1.0,0.80242777,0.65123683,0.979197,0.71462196,0.99999976,0.29725894
53,/content/Dataset/STR/STR-VKMIYHGK.jpg,5,7,1,5,0.93041545,0.7838093,1.0,0.47876048,0.20288244,0.9840305,0.26720122,0.7207261,0.2663626
54,/content/Dataset/ADI/ADI-GLLIDCMM.jpg,0,0,0,4,1.0841583,0.82289916,0.9975615,0.775531,0.62335676,0.9802963,0.6451875,1.0,0.31490773
55,/content/Dataset/MUC/MUC-APVNIKQA.jpg,4,4,0,6,1.0149287,0.80170375,0.9952506,0.7813708,0.64515465,0.9850959,0.63418996,1.0,0.30663234
56,/content/Dataset/BACK/BACK-KCIYQNIH.jpg,0,1,1,0,1.0777972,0.81574196,1.0,0.67762786,0.58308357,0.9807896,0.30956286,1.0,0.3117946
57,/content/Dataset/DEB/DEB-TGFWKYMN.jpg,8,2,1,8,1.0304736,0.81453794,0.93780893,0.19709857,0.00033535014,0.98354316,0.0010902431,0.0,0.28689158
58,/content/Dataset/TUM/TUM-RNTNRPPG.jpg,8,8,0,6,0.9854151,0.7883133,1.0,0.7856172,0.64935076,0.9875135,0.643367,1.0,0.2801732
59,/content/Dataset/TUM/TUM-RWYIMKTK.jpg,8,8,0,6,0.9850475,0.7960755,1.0,0.28870413,0.12134442,0.9880885,0.19446352,2.5291128e-23,0.2358055
60,/content/Dataset/ADI/ADI-CLTGLPCM.jpg,5,0,1,5,1.103403,0.8413629,1.0,0.25158012,0.05043228,0.9888775,0.14461325,0.0,0.30243167
61,/content/Dataset/MUS/MUS-VHHTMLNF.jpg,5,5,0,7,0.95999867,0.78460824,1.0,0.78904015,0.64419186,0.97890717,0.67116624,1.0,0.29526258
62,/content/Dataset/STR/STR-VGDKSASN.jpg,2,7,1,2,0.99414015,0.79987156,1.0,0.19982424,0.00033535014,0.99401104,0.0036186338,0.0,0.20930666
63,/content/Dataset/TUM/TUM-TTEGIPHE.jpg,8,8,0,6,0.86927605,0.8854054,1.0,0.2892043,0.13962051,0.9830306,0.17492391,4.548584e-14,0.24312331
64,/content/Dataset/MUC/MUC-RDNVLMWQ.jpg,4,4,0,3,1.0165434,0.79142195,1.0,0.7891314,0.66400415,0.98502624,0.6388988,1.0,0.31089
65,/content/Dataset/MUS/MUS-QDYSCACR.jpg,5,5,0,7,0.9603244,0.78483796,1.0,0.7315346,0.57811207,0.98392886,0.52963847,1.0,0.27784562
66,/content/Dataset/MUS/MUS-SICCEMNE.jpg,7,5,1,7,0.9655075,0.80715567,1.0,0.6263393,0.39848733,0.9834431,0.3607205,0.99999994,0.24742225
67,/content/Dataset/NORM/NORM-ACWKSWQC.jpg,6,6,0,4,0.9899992,0.8594665,1.0,0.3798249,0.26152238,0.9850406,0.36513513,7.2739056e-07,0.24899696
68,/content/Dataset/TUM/TUM-RMNPSPLY.jpg,8,8,0,6,0.98383045,0.78607,1.0,0.67568964,0.47804815,0.98655516,0.44424695,1.0,0.26361278
69,/content/Dataset/MUC/MUC-ANVGSVTI.jpg,4,4,0,6,1.016898,0.8022051,1.0,0.7660888,0.64467794,0.9844433,0.5742514,0.99999994,0.3065268
70,/content/Dataset/LYM/LYM-VAWWSLAN.jpg,3,3,0,2,1.0480279,0.8060641,1.0,0.74373716,0.5888511,0.98720545,0.5607927,1.0,0.2992078
71,/content/Dataset/ADI/ADI-EVWMWEMM.jpg,0,0,0,3,1.1018289,0.82035404,1.0,0.7011052,0.49718976,0.9850095,0.5203474,1.0,0.30548126
72,/content/Dataset/STR/STR-NKKMWECC.jpg,7,7,0,5,0.9186536,0.7624554,1.0,0.76427317,0.6058774,0.98596025,0.6201005,0.9999945,0.2633699
73,/content/Dataset/ADI/ADI-CGPAKEHN.jpg,0,0,0,4,1.0854486,0.8244777,1.0,0.60339206,0.30201742,0.9841033,0.40346125,1.0,0.29094163
74,/content/Dataset/MUC/MUC-ATNSSFFG.jpg,6,4,1,6,1.0201436,0.8130972,1.0,0.29492167,0.104604535,0.9861688,0.24430525,1.2783563e-16,0.27908546
75,/content/Dataset/STR/STR-SFCVKYIQ.jpg,7,7,0,5,0.923531,0.7696538,1.0,0.80940104,0.65535295,0.9870612,0.7305911,0.9998375,0.26755837
76,/content/Dataset/TUM/TUM-RRYEFVLW.jpg,8,8,0,6,0.9838449,0.78652906,1.0,0.2751704,0.113754325,0.9842764,0.15400429,5.8782794e-19,0.24652286
77,/content/Dataset/TUM/TUM-VYHYTSWI.jpg,8,8,0,6,0.9825905,0.78442514,1.0,0.7597059,0.6189351,0.9870381,0.58268416,1.0,0.27701128
78,/content/Dataset/MUS/MUS-ASHDMSPQ.jpg,5,5,0,7,0.9563528,0.77797145,1.0,0.7588667,0.61994135,0.98540884,0.579222,1.0,0.28861696
79,/content/Dataset/NORM/NORM-YPFVKPTY.jpg,6,6,0,4,0.99692696,0.8068887,0.9099548,0.79993135,0.65111816,0.9832729,0.70154184,0.9999999,0.28660867
80,/content/Dataset/DEB/DEB-SKATRDPE.jpg,4,2,1,4,1.0214527,0.8608508,1.0,0.25571966,0.053897567,0.9382278,0.1968399,1.8479048e-30,0.21386138
81,/content/Dataset/ADI/ADI-HPYWNNWF.jpg,0,0,0,5,1.0967451,0.83052325,0.9914916,0.8254767,0.7177638,0.98610145,0.70815647,1.0,0.32299176
82,/content/Dataset/ADI/ADI-FNADQVCR.jpg,0,0,0,4,1.08504,0.8235514,1.0,0.6487985,0.3915353,0.98399067,0.4598523,1.0,0.2978347
83,/content/Dataset/MUS/MUS-TAERLNQS.jpg,5,5,0,7,0.9553186,0.77701473,1.0,0.81330365,0.67162365,0.9866643,0.7236102,0.99999994,0.30322552
84,/content/Dataset/DEB/DEB-QYNSNPEF.jpg,2,2,0,3,1.0177977,0.79601866,1.0,0.20607023,0.0017039049,0.9713552,0.04481127,0.0,0.2226066
85,/content/Dataset/MUC/MUC-TWDWWVDL.jpg,4,4,0,6,0.69740325,0.90028214,1.0,0.38409364,0.32521516,0.98358285,0.29420707,7.903154e-11,0.24618216
86,/content/Dataset/STR/STR-SCHWTKDW.jpg,7,7,0,5,0.92207015,0.76915044,1.0,0.81688046,0.6905031,0.9841426,0.7135033,0.9999998,0.27075025
87,/content/Dataset/LYM/LYM-SYWDHRTY.jpg,3,3,0,2,1.0493788,0.80883753,1.0,0.78899527,0.6575861,0.98463374,0.6476536,1.0,0.3128743
88,/content/Dataset/LYM/LYM-VGVTTPGM.jpg,3,3,0,2,1.0469726,0.80474365,1.0,0.71938264,0.5433316,0.9871103,0.52717793,1.0,0.29087716
89,/content/Dataset/NORM/NORM-QMRQWIQH.jpg,6,6,0,4,1.0012606,0.8070953,0.92405885,0.7531117,0.5869886,0.98571193,0.60210466,0.99998575,0.27534133
90,/content/Dataset/TUM/TUM-QYQPVGAP.jpg,6,8,1,6,0.9875059,0.79450005,1.0,0.5507117,0.27138072,0.98781145,0.23266459,1.0,0.2461211
91,/content/Dataset/ADI/ADI-GYHGWSGS.jpg,0,0,0,5,1.0985986,0.83092386,0.99683124,0.8106984,0.72393686,0.9855043,0.6408786,1.0,0.32357696
92,/content/Dataset/STR/STR-QIIPKQNT.jpg,2,7,1,2,0.9940058,0.81288755,1.0,0.19702473,0.00033535014,0.9841176,0.00033535014,0.0,0.2547118
93,/content/Dataset/DEB/DEB-SMNMDTLG.jpg,2,2,0,3,1.0186493,0.79300725,1.0,0.7863405,0.6610626,0.9866212,0.6305773,1.0,0.2982564
94,/content/Dataset/MUS/MUS-ALTWPPCF.jpg,5,5,0,7,0.959817,0.78506064,1.0,0.63491607,0.39457223,0.9840563,0.400018,1.0,0.24422114
95,/content/Dataset/TUM/TUM-WLKYSPSD.jpg,6,8,1,6,0.98909533,0.798231,1.0,0.62795293,0.39398897,0.9836868,0.37327772,1.0,0.24539551
96,/content/Dataset/TUM/TUM-VFYAFEDY.jpg,8,8,0,6,0.39600793,0.8658619,1.0,0.2171514,0.01725384,0.9858926,0.05573615,0.0,0.27995157
97,/content/Dataset/DEB/DEB-YKDFVWWC.jpg,2,2,0,3,1.0187278,0.79336095,1.0,0.7526624,0.6126371,0.9858019,0.5643162,1.0,0.29567003
98,/content/Dataset/MUC/MUC-SAFCRPAI.jpg,4,4,0,7,0.99700826,0.80472463,1.0,0.7788174,0.6528888,0.98450756,0.6136194,1.0,0.30835903
99,/content/Dataset/BACK/BACK-IYEKCSEV.jpg,1,1,0,3,1.0664895,0.810766,1.0,0.6062541,0.36163327,0.9871186,0.32903492,0.9999999,0.28764197
100,/content/Dataset/NORM/NORM-VDSTIWAS.jpg,6,6,0,4,1.0020475,0.8068726,0.9272227,0.79207665,0.6515269,0.9863764,0.667068,0.9999996,0.28668463
101,/content/Dataset/STR/STR-VIIWVPNK.jpg,7,7,0,5,0.9255648,0.7748853,1.0,0.76601154,0.6169368,0.9816156,0.61504364,0.99999815,0.26428118
102,/content/Dataset/STR/STR-YTHRCMVD.jpg,7,7,0,5,0.8464662,0.804029,1.0,0.6579694,0.4769161,0.9856016,0.37571388,0.99999994,0.25335574
103,/content/Dataset/BACK/BACK-KFHSVMWS.jpg,1,1,0,3,1.0666784,0.810295,1.0,0.76423615,0.6463414,0.98611563,0.5631743,1.0,0.29479042
104,/content/Dataset/DEB/DEB-SMLQSEQN.jpg,8,2,1,8,1.051284,0.82294065,1.0,0.19524789,0.00033535014,0.96942806,0.004979614,0.0,0.26927584
105,/content/Dataset/LYM/LYM-PIGRPGTC.jpg,3,3,0,2,1.0487792,0.80910236,1.0,0.7664103,0.5978809,0.99064124,0.6360949,0.99999994,0.30091766
106,/content/Dataset/STR/STR-YIGHECIS.jpg,7,7,0,5,0.9229588,0.76955074,1.0,0.77395487,0.65251386,0.9861313,0.59339505,0.99999994,0.2673094
107,/content/Dataset/DEB/DEB-TLGRNAKC.jpg,4,2,1,4,1.0623571,0.8386594,1.0,0.20466161,0.0005877301,0.98443806,0.03027313,0.0,0.27828148
108,/content/Dataset/DEB/DEB-WVTAMFLG.jpg,2,2,0,3,1.0178244,0.7915845,1.0,0.74655765,0.58383495,0.9860144,0.58005023,1.0,0.29420108
109,/content/Dataset/DEB/DEB-QSDQVECK.jpg,2,2,0,3,1.0171486,0.7916358,1.0,0.7996478,0.6401025,0.9870635,0.7127969,1.0,0.29711574
110,/content/Dataset/STR/STR-VHSMFLLT.jpg,5,7,1,5,0.93218493,0.8052704,1.0,0.59435034,0.3192847,0.9850911,0.34232995,1.0,0.25996917
111,/content/Dataset/STR/STR-RTSTGNYM.jpg,7,7,0,5,0.92100155,0.8314297,1.0,0.7474971,0.6106196,0.9853132,0.54687035,0.99999994,0.2637591
112,/content/Dataset/MUS/MUS-CNMSICVA.jpg,0,5,1,0,1.0613843,0.8236395,1.0,0.19778721,0.00033535014,0.9852443,0.0024839062,0.0,0.29794496
113,/content/Dataset/STR/STR-PTMKSHFK.jpg,5,7,1,5,0.92882377,0.779544,1.0,0.59677607,0.32492217,0.98580563,0.3435689,1.0,0.26016477
114,/content/Dataset/BACK/BACK-PCWNAGNC.jpg,1,1,0,3,1.0660625,0.80965143,1.0,0.80134666,0.65847415,0.9858941,0.6948097,0.9999972,0.29512116
115,/content/Dataset/BACK/BACK-NNCTDCWT.jpg,1,1,0,3,1.0652572,0.8093463,1.0,0.5524589,0.24725652,0.98453873,0.27605376,0.9999895,0.28437504
116,/content/Dataset/LYM/LYM-NQEKVDDN.jpg,3,3,0,2,1.0475998,0.805969,1.0,0.6903126,0.48632428,0.9869568,0.4908311,1.0,0.28093216
117,/content/Dataset/DEB/DEB-WYMTWADK.jpg,2,2,0,3,1.0179832,0.7923619,1.0,0.67603046,0.45839038,0.98764294,0.47226092,1.0,0.2880882
118,/content/Dataset/MUS/MUS-AIVYYPCV.jpg,5,5,0,7,0.96001494,0.7837164,1.0,0.7597137,0.6124315,0.9812374,0.59646094,1.0,0.28662363
119,/content/Dataset/TUM/TUM-YMMEWQMC.jpg,8,8,0,6,0.9182726,0.8706405,1.0,0.25064838,0.06371,0.98525876,0.12519254,7.79879e-27,0.25716123
120,/content/Dataset/MUS/MUS-VLPYPWTA.jpg,5,5,0,7,0.9579726,0.78060085,1.0,0.79267085,0.6589016,0.98640704,0.6590957,1.0,0.2994679
121,/content/Dataset/LYM/LYM-QKIWVCAE.jpg,3,3,0,2,1.047289,0.8047706,1.0,0.79291004,0.6509161,0.9879991,0.6699583,1.0,0.31147274
122,/content/Dataset/TUM/TUM-RPFYPLIT.jpg,8,8,0,6,0.98453796,0.78772867,1.0,0.23106831,0.037616372,0.9840812,0.0843453,1.8379492e-38,0.26490322
123,/content/Dataset/DEB/DEB-QVWWYVLQ.jpg,2,2,0,7,0.30675733,0.78201675,1.0,0.19743624,0.00033535014,0.9861751,0.00033535014,0.0,0.20033431
124,/content/Dataset/TUM/TUM-RWSFKYWV.jpg,6,8,1,6,0.99149126,0.8025742,1.0,0.53379214,0.23775335,0.9870574,0.21266788,1.0,0.25238997
125,/content/Dataset/BACK/BACK-AEYMGRCW.jpg,1,1,0,8,1.0643415,0.81582206,1.0,0.20991941,0.002005177,0.98274636,0.050673272,3.11e-43,0.2555646
126,/content/Dataset/STR/STR-MTQFHWTR.jpg,0,7,1,0,1.0172126,0.8135542,1.0,0.19842035,0.00033535014,0.9859355,0.0044634305,0.0,0.23168972
127,/content/Dataset/LYM/LYM-QWCQHVCV.jpg,3,3,0,2,1.0474068,0.80524397,1.0,0.7476009,0.5944269,0.9869703,0.56862974,1.0,0.30026102
128,/content/Dataset/TUM/TUM-SDSIRCIC.jpg,8,8,0,6,0.98384356,0.7861362,1.0,0.70912004,0.53187853,0.9869121,0.5023206,1.0,0.26857617
129,/content/Dataset/MUS/MUS-NWPGADCT.jpg,5,5,0,7,0.9541718,0.77524275,1.0,0.7987282,0.6630342,0.98718226,0.6769192,1.0,0.30067566
130,/content/Dataset/LYM/LYM-SYWFYVLR.jpg,3,3,0,2,1.0481429,0.8063469,1.0,0.7932204,0.6643486,0.9858326,0.65412766,1.0,0.31431523
131,/content/Dataset/NORM/NORM-YSSSWGGT.jpg,6,6,0,8,0.97959334,0.8035958,1.0,0.731158,0.5953131,0.98406565,0.5039413,1.0,0.27674103
132,/content/Dataset/DEB/DEB-WNHNHDIN.jpg,2,2,0,3,1.0165063,0.79005903,1.0,0.73634785,0.59725016,0.984712,0.5214717,1.0,0.29488006
133,/content/Dataset/ADI/ADI-EETLLSNM.jpg,0,0,0,4,1.0845486,0.82311773,1.0,0.7522035,0.58419013,0.9862351,0.60195994,1.0,0.31187838
134,/content/Dataset/STR/STR-RFGVYLEF.jpg,7,7,0,5,0.9248624,0.7710702,1.0,0.72204757,0.5959977,0.98501956,0.46577787,1.0,0.26256597
135,/content/Dataset/STR/STR-TDGSYIRG.jpg,7,7,0,8,0.8207852,0.876361,1.0,0.3554616,0.07096349,0.95954233,0.5548637,3.14e-43,0.21077739
136,/content/Dataset/LYM/LYM-TQVEVHVA.jpg,4,3,1,4,1.0557816,0.81544507,0.98822904,0.44355655,0.041756414,0.9869197,0.12623137,1.0,0.3038447
137,/content/Dataset/MUC/MUC-AEEYSLRM.jpg,6,4,1,6,1.0200098,0.81390965,1.0,0.24902329,0.03520199,0.98491657,0.15887704,9.288294e-28,0.30126706
138,/content/Dataset/MUS/MUS-SLWDNQME.jpg,0,5,1,0,1.0600199,0.8300116,1.0,0.22924358,0.004104726,0.93531555,0.16297522,4.3810426e-09,0.22108018
139,/content/Dataset/MUS/MUS-STRPVIQD.jpg,5,5,0,7,0.9563163,0.7779771,1.0,0.79861236,0.6679724,0.98638177,0.6701827,1.0,0.30213493
140,/content/Dataset/LYM/LYM-QFISWLNQ.jpg,4,3,1,4,1.0559186,0.8146124,0.9906447,0.4486531,0.050305855,0.98615617,0.13525921,1.0,0.30091017
141,/content/Dataset/NORM/NORM-LNNRYCNG.jpg,6,6,0,8,0.9728963,0.77715987,1.0,0.75207907,0.5982769,0.9851645,0.582597,1.0,0.27724332
142,/content/Dataset/DEB/DEB-WMMVTMWW.jpg,2,2,0,3,1.0174135,0.7911163,1.0,0.7645645,0.62959343,0.98564464,0.58831143,1.0,0.29655662
143,/content/Dataset/NORM/NORM-AMSASSKD.jpg,6,6,0,8,0.97678465,0.78299916,1.0,0.80503047,0.70321476,0.98729426,0.6457858,1.0,0.29685926
144,/content/Dataset/TUM/TUM-RREVHNKI.jpg,8,8,0,6,0.96016246,0.85464,1.0,0.25548685,0.07653962,0.97976136,0.1309828,7.589317e-30,0.2498537
145,/content/Dataset/TUM/TUM-QCTVSSWL.jpg,8,8,0,6,0.98553413,0.7897893,1.0,0.32311285,0.1972436,0.98543924,0.22795896,4.4470005e-09,0.23524317
146,/content/Dataset/MUC/MUC-ANPPGWYY.jpg,4,4,0,3,1.0175673,0.7935035,1.0,0.78010684,0.6394246,0.98479766,0.63739485,1.0,0.3053702
147,/content/Dataset/STR/STR-QEGEEPDV.jpg,2,7,1,2,0.967975,0.79898053,0.90878236,0.19710317,0.00033535014,0.98284394,0.0016680453,0.0,0.22539315
148,/content/Dataset/ADI/ADI-IDWWVTAL.jpg,0,0,0,4,1.0846076,0.82299757,1.0,0.65104884,0.3953186,0.9871552,0.46102527,1.0,0.29811344
149,/content/Dataset/MUC/MUC-QVFNTRGF.jpg,3,4,1,3,1.0178634,0.7934595,1.0,0.4330819,0.013773037,0.9626621,0.14291562,1.0,0.2863611
150,/content/Dataset/TUM/TUM-SMIGSKRD.jpg,8,8,0,6,0.9822681,0.7842772,1.0,0.7375007,0.5803776,0.98706263,0.54782414,1.0,0.27318546
151,/content/Dataset/LYM/LYM-TLYVTGQF.jpg,3,3,0,2,1.0475076,0.8052788,1.0,0.7301459,0.5625985,0.9870859,0.5432769,1.0,0.29435015
152,/content/Dataset/BACK/BACK-KSCAYQKV.jpg,1,1,0,3,1.0654187,0.80870014,1.0,0.20804706,0.005588459,0.98329264,0.037730288,2.361089e-22,0.26113364
